"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/29/2023 12 a.m. EDT",412004,408523,407368,-2041
US48,"5/29/2023 1 a.m. EDT",390707,386362,384525,-2635
US48,"5/29/2023 2 a.m. EDT",371594,365844,366355,-1629
US48,"5/29/2023 3 a.m. EDT",357424,350143,351795,-1232
US48,"5/29/2023 4 a.m. EDT",346645,341442,341216,-1437
US48,"5/29/2023 5 a.m. EDT",340518,335678,335110,-1833
US48,"5/29/2023 6 a.m. EDT",338953,335337,334457,-1453
US48,"5/29/2023 7 a.m. EDT",339891,337661,335564,-1380
US48,"5/29/2023 8 a.m. EDT",342287,344890,337946,-1883
US48,"5/29/2023 9 a.m. EDT",352947,357544,347858,-2589
US48,"5/29/2023 10 a.m. EDT",370468,374212,365632,-2312
US48,"5/29/2023 11 a.m. EDT",390065,393019,387194,-1622
US48,"5/29/2023 12 p.m. EDT",410500,412201,409587,-205
US48,"5/29/2023 1 p.m. EDT",429872,427951,428320,267
US48,"5/29/2023 2 p.m. EDT",445703,442495,444136,75
US48,"5/29/2023 3 p.m. EDT",459192,456344,457542,-558
US48,"5/29/2023 4 p.m. EDT",472254,469254,469546,-1493
US48,"5/29/2023 5 p.m. EDT",484478,482858,481559,-2092
US48,"5/29/2023 6 p.m. EDT",494561,492305,491074,-2945
US48,"5/29/2023 7 p.m. EDT",498326,494864,493934,-3457
US48,"5/29/2023 8 p.m. EDT",495174,490269,491603,-2395
US48,"5/29/2023 9 p.m. EDT",487909,482179,484217,-2500
US48,"5/29/2023 10 p.m. EDT",478596,468001,474803,-2456
US48,"5/29/2023 11 p.m. EDT",459640,447555,455052,-2356
US48,"5/30/2023 12 a.m. EDT",434801,422985,430538,-1398
US48,"5/30/2023 1 a.m. EDT",408398,397585,403938,-485
US48,"5/30/2023 2 a.m. EDT",385990,376812,381691,337
US48,"5/30/2023 3 a.m. EDT",368823,358422,363937,760
US48,"5/30/2023 4 a.m. EDT",357277,352451,351940,-406
US48,"5/30/2023 5 a.m. EDT",354573,351527,349172,-778
US48,"5/30/2023 6 a.m. EDT",359442,360347,353893,-995
US48,"5/30/2023 7 a.m. EDT",374302,375124,367238,-2932
US48,"5/30/2023 8 a.m. EDT",391478,393813,383846,-3847
US48,"5/30/2023 9 a.m. EDT",408793,411398,401893,-3394
US48,"5/30/2023 10 a.m. EDT",427518,429960,423346,-928
US48,"5/30/2023 11 a.m. EDT",447770,449078,444162,-406
US48,"5/30/2023 12 p.m. EDT",467289,467797,463556,-74
US48,"5/30/2023 1 p.m. EDT",487292,485988,482824,-637
US48,"5/30/2023 2 p.m. EDT",506494,501927,501682,-1002
US48,"5/30/2023 3 p.m. EDT",522650,516265,517767,-463
US48,"5/30/2023 4 p.m. EDT",535436,529018,531826,227
US48,"5/30/2023 5 p.m. EDT",545404,540076,542388,-108
US48,"5/30/2023 6 p.m. EDT",551056,545116,546688,-1583
US48,"5/30/2023 7 p.m. EDT",550071,543395,546636,-1264
US48,"5/30/2023 8 p.m. EDT",542534,534857,538714,-1851
US48,"5/30/2023 9 p.m. EDT",530716,521331,526402,-1885
US48,"5/30/2023 10 p.m. EDT",515774,503932,510272,-2746
US48,"5/30/2023 11 p.m. EDT",492676,480330,487092,-2106
US48,"5/31/2023 12 a.m. EDT",463266,450934,457619,-1743
US48,"5/31/2023 1 a.m. EDT",435861,422420,428569,-2315
US48,"5/31/2023 2 a.m. EDT",413421,396165,406604,-1345
US48,"5/31/2023 3 a.m. EDT",392711,378844,386488,-565
US48,"5/31/2023 4 a.m. EDT",380237,369164,374850,-288
US48,"5/31/2023 5 a.m. EDT",374922,367011,369689,-379
US48,"5/31/2023 6 a.m. EDT",377832,374896,371828,-1752
US48,"5/31/2023 7 a.m. EDT",391671,388614,384791,-2993
US48,"5/31/2023 8 a.m. EDT",406623,405212,400871,-2207
US48,"5/31/2023 9 a.m. EDT",423124,421041,418165,-2099
US48,"5/31/2023 10 a.m. EDT",441260,438741,436441,-2762
US48,"5/31/2023 11 a.m. EDT",461302,458071,458454,-1168
US48,"5/31/2023 12 p.m. EDT",481225,476815,477254,-1390
US48,"5/31/2023 1 p.m. EDT",499133,494599,495863,-241
US48,"5/31/2023 2 p.m. EDT",517340,510729,513664,-1104
US48,"5/31/2023 3 p.m. EDT",532154,525008,528606,-1014
US48,"5/31/2023 4 p.m. EDT",544349,537217,541222,-1026
US48,"5/31/2023 5 p.m. EDT",554200,547003,551516,-1181
US48,"5/31/2023 6 p.m. EDT",559684,551003,556394,-1320
US48,"5/31/2023 7 p.m. EDT",557682,548640,554929,-682
US48,"5/31/2023 8 p.m. EDT",548511,539691,546676,-350
US48,"5/31/2023 9 p.m. EDT",535596,525822,533087,-1459
US48,"5/31/2023 10 p.m. EDT",522137,508103,515326,-4701
US48,"5/31/2023 11 p.m. EDT",499587,483962,492705,-3951
US48,"6/1/2023 12 a.m. EDT",466461,454770,464501,-2620
US48,"6/1/2023 1 a.m. EDT",443264,425573,436603,-2293
US48,"6/1/2023 2 a.m. EDT",418398,405317,412004,-1471
US48,"6/1/2023 3 a.m. EDT",398239,386709,392994,-438
US48,"6/1/2023 4 a.m. EDT",385224,376843,380377,-1162
US48,"6/1/2023 5 a.m. EDT",379718,374802,374588,-1820
US48,"6/1/2023 6 a.m. EDT",382961,382608,378236,-1659
US48,"6/1/2023 7 a.m. EDT",393917,396587,388709,-2879
US48,"6/1/2023 8 a.m. EDT",410172,414128,405171,-3660
US48,"6/1/2023 9 a.m. EDT",429102,433217,424923,-3127
US48,"6/1/2023 10 a.m. EDT",450554,454226,446540,-2924
US48,"6/1/2023 11 a.m. EDT",472643,476396,467923,-4102
US48,"6/1/2023 12 p.m. EDT",494385,497497,489627,-4259
US48,"6/1/2023 1 p.m. EDT",515980,518035,512459,-3280
US48,"6/1/2023 2 p.m. EDT",535479,535761,532205,-2922
US48,"6/1/2023 3 p.m. EDT",551302,551953,547013,-3356
US48,"6/1/2023 4 p.m. EDT",564051,564870,561954,-1993
US48,"6/1/2023 5 p.m. EDT",574373,574397,572210,-1341
US48,"6/1/2023 6 p.m. EDT",577654,577994,576897,-490
US48,"6/1/2023 7 p.m. EDT",575118,573140,575730,-126
US48,"6/1/2023 8 p.m. EDT",566019,562819,565596,-1041
US48,"6/1/2023 9 p.m. EDT",551621,548133,549223,-2495
US48,"6/1/2023 10 p.m. EDT",536262,528690,531591,-3921
US48,"6/1/2023 11 p.m. EDT",512324,503842,506533,-4761
US48,"6/2/2023 12 a.m. EDT",478115,472342,475242,-3811
US48,"6/2/2023 1 a.m. EDT",450684,442610,443915,-782
US48,"6/2/2023 2 a.m. EDT",425851,417565,418548,-54
US48,"6/2/2023 3 a.m. EDT",403884,395126,398665,1498
US48,"6/2/2023 4 a.m. EDT",390423,385823,385975,1511
US48,"6/2/2023 5 a.m. EDT",384291,382625,379506,1087
US48,"6/2/2023 6 a.m. EDT",386437,388900,381332,888
US48,"6/2/2023 7 a.m. EDT",398961,401684,392755,109
US48,"6/2/2023 8 a.m. EDT",414153,419944,408988,-114
US48,"6/2/2023 9 a.m. EDT",435080,441733,429527,-593
US48,"6/2/2023 10 a.m. EDT",458869,466583,452734,-1298
US48,"6/2/2023 11 a.m. EDT",484875,493143,478665,-205
US48,"6/2/2023 12 p.m. EDT",511904,518610,504528,-368
US48,"6/2/2023 1 p.m. EDT",535536,541327,527484,-877
US48,"6/2/2023 2 p.m. EDT",556030,561961,549025,-30
US48,"6/2/2023 3 p.m. EDT",572137,579036,565909,-21
US48,"6/2/2023 4 p.m. EDT",583908,592501,579216,429
US48,"6/2/2023 5 p.m. EDT",592305,600020,588050,324
US48,"6/2/2023 6 p.m. EDT",594005,599589,592044,543
US48,"6/2/2023 7 p.m. EDT",586686,589010,586280,371
US48,"6/2/2023 8 p.m. EDT",573286,572956,572510,665
US48,"6/2/2023 9 p.m. EDT",554399,554124,552596,487
US48,"6/2/2023 10 p.m. EDT",535317,533418,531069,-144
US48,"6/2/2023 11 p.m. EDT",510091,509222,504469,116
US48,"6/3/2023 12 a.m. EDT",481858,479739,475562,58
US48,"6/3/2023 1 a.m. EDT",440977,438141,435950,-197
US48,"6/3/2023 2 a.m. EDT",414735,409715,409981,796
US48,"6/3/2023 3 a.m. EDT",393120,386256,388277,1360
US48,"6/3/2023 4 a.m. EDT",377514,374589,373003,1064
US48,"6/3/2023 5 a.m. EDT",367264,366358,362621,726
US48,"6/3/2023 6 a.m. EDT",362328,363371,358128,431
US48,"6/3/2023 7 a.m. EDT",361432,364628,357562,126
US48,"6/3/2023 8 a.m. EDT",367851,374106,363636,-688
US48,"6/3/2023 9 a.m. EDT",384463,392429,380177,-1127
US48,"6/3/2023 10 a.m. EDT",407276,416866,402799,-1326
US48,"6/3/2023 11 a.m. EDT",432621,443294,428870,-1667
US48,"6/3/2023 12 p.m. EDT",459253,468127,456434,-1153
US48,"6/3/2023 1 p.m. EDT",481806,489335,478674,-1062
US48,"6/3/2023 2 p.m. EDT",499820,507007,496190,-1488
US48,"6/3/2023 3 p.m. EDT",513741,520308,509768,-1848
US48,"6/3/2023 4 p.m. EDT",524473,531195,520921,-1639
US48,"6/3/2023 5 p.m. EDT",533132,538828,529300,-2092
US48,"6/3/2023 6 p.m. EDT",536341,540558,533879,-2106
US48,"6/3/2023 7 p.m. EDT",532681,536005,530806,-2403
US48,"6/3/2023 8 p.m. EDT",522600,525296,520499,-2565
US48,"6/3/2023 9 p.m. EDT",507182,510002,504876,-2257
US48,"6/3/2023 10 p.m. EDT",491810,492862,490095,-1709
US48,"6/3/2023 11 p.m. EDT",472304,471849,468357,-1517
US48,"6/4/2023 12 a.m. EDT",447445,446416,441996,-1629
US48,"6/4/2023 1 a.m. EDT",421476,420211,415043,-1378
US48,"6/4/2023 2 a.m. EDT",397076,393728,392673,352
US48,"6/4/2023 3 a.m. EDT",379579,372122,373908,262
US48,"6/4/2023 4 a.m. EDT",363361,362052,357692,4895
US48,"6/4/2023 5 a.m. EDT",353332,353487,347949,5077
US48,"6/4/2023 6 a.m. EDT",347185,349343,342133,5310
US48,"6/4/2023 7 a.m. EDT",344557,348097,340359,5781
US48,"6/4/2023 8 a.m. EDT",347634,354107,343495,5497
US48,"6/4/2023 9 a.m. EDT",360832,368553,355271,3827
US48,"6/4/2023 10 a.m. EDT",379312,388014,373610,1782
US48,"6/4/2023 11 a.m. EDT",399527,410606,395573,343
US48,"6/4/2023 12 p.m. EDT",418749,432262,415757,-370
US48,"6/4/2023 1 p.m. EDT",438072,452446,434353,-1550
US48,"6/4/2023 2 p.m. EDT",454692,469293,452020,-2220
US48,"6/4/2023 3 p.m. EDT",469730,485038,466262,-3876
US48,"6/4/2023 4 p.m. EDT",482918,498470,479513,-4546
US48,"6/4/2023 5 p.m. EDT",494490,508699,490568,-5827
US48,"6/4/2023 6 p.m. EDT",502305,514874,499040,-5587
US48,"6/4/2023 7 p.m. EDT",504144,514720,502085,-5197
US48,"6/4/2023 8 p.m. EDT",499502,508724,497969,-4177
US48,"6/4/2023 9 p.m. EDT",490648,497696,489478,-2602
US48,"6/4/2023 10 p.m. EDT",480587,482326,478601,-1671
US48,"6/4/2023 11 p.m. EDT",463499,461760,458501,-398
US48,"6/5/2023 12 a.m. EDT",434085,435297,432016,1478
US48,"6/5/2023 1 a.m. EDT",420331,408940,,
US48,"6/5/2023 2 a.m. EDT",398140,383744,,
US48,"6/5/2023 3 a.m. EDT",380739,367040,,
US48,"6/5/2023 4 a.m. EDT",370607,357551,,
US48,"6/5/2023 5 a.m. EDT",363803,356193,,
US48,"6/5/2023 6 a.m. EDT",369361,364107,,
US48,"6/5/2023 7 a.m. EDT",383125,377641,,
US48,"6/5/2023 8 a.m. EDT",400804,394294,,
US48,"6/5/2023 9 a.m. EDT",418160,411705,,
US48,"6/5/2023 10 a.m. EDT",435725,431178,,
US48,"6/5/2023 11 a.m. EDT",454761,452166,,
US48,"6/5/2023 12 p.m. EDT",471522,472801,,
US48,"6/5/2023 1 p.m. EDT",488943,493030,,
US48,"6/5/2023 2 p.m. EDT",,511546,,
US48,"6/5/2023 3 p.m. EDT",,527709,,
US48,"6/5/2023 4 p.m. EDT",,540627,,
US48,"6/5/2023 5 p.m. EDT",,549402,,
US48,"6/5/2023 6 p.m. EDT",,551659,,
US48,"6/5/2023 7 p.m. EDT",,546829,,
US48,"6/5/2023 8 p.m. EDT",,537100,,
US48,"6/5/2023 9 p.m. EDT",,522096,,
US48,"6/5/2023 10 p.m. EDT",,502771,,
US48,"6/5/2023 11 p.m. EDT",,477826,,
US48,"6/6/2023 12 a.m. EDT",,448227,,
